language,iso,family,dominant,variation,serial,dominant_quantifiers,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,twenty,thirty,forty,several,few
Magdalena Peñasco Mixtec,xtm,Otomanguean,NumN,_,_,QuantN,674/32,119/16,74/7,49/3,47/0,7/4,77/4,6/1,0/1,24/3,2/4,73/19,8/1,8/0,18/5,84/8,6/0
Kuo,xuo,Atlantic-Congo,NNum,_,_,NQuant,127/141,38/103,14/60,6/42,8/33,3/10,10/74,0/8,0/0,6/17,0/7,10/48,2/3,0/6,2/21,15/58,1/2
Yaminahua,yaa,Pano-Tacanan,NumN,_,_,_,38/18,49/50,52/12,27/7,30/4,8/3,41/16,6/1,0/0,12/5,2/4,35/8,1/1,5/3,16/2,6/5,0/0
Yagua,yad,Peba-Yagua,NumN,_,_,QuantN,168/32,84/24,43/6,31/7,38/1,6/4,63/3,4/1,0/0,18/3,2/3,37/18,7/1,7/3,20/1,62/5,0/0
Yalunka,yal,Mande,NNum,_,_,NQuant,73/238,27/114,6/67,7/43,10/36,0/10,11/74,2/4,0/0,4/21,2/4,23/50,3/6,0/8,4/30,16/79,0/1
Yamba,yam,Atlantic-Congo,NNum,_,_,NQuant,127/121,33/102,9/67,12/28,11/34,1/9,16/65,0/7,0/1,2/20,0/6,9/56,0/5,2/6,4/29,17/40,0/1
Mayangna,yan,Misumalpan,NNum,_,_,NQuant,413/1028,82/415,54/295,32/139,25/121,19/64,51/289,2/38,3/18,27/129,1/18,23/100,10/79,16/64,8/87,42/155,2/13
Yaqui,yaq,Uto-Aztecan,NumN,_,_,QuantN,340/32,105/20,61/8,41/9,47/1,10/0,79/6,6/0,1/1,31/0,6/0,57/16,7/1,8/0,31/1,74/7,2/0
Yaweyuha,yby,Nuclear Trans New Guinea,_,_,_,QuantN,80/56,37/47,24/35,13/21,14/19,2/7,29/36,1/4,0/0,9/13,1/3,28/25,0/0,0/4,1/13,9/1,0/0
Yucuna,ycn,Arawakan,NumN,_,_,QuantN,167/25,75/21,64/3,31/3,31/6,7/0,55/11,6/0,0/0,19/2,1/3,50/25,1/1,6/3,15/0,60/7,2/0
Yele,yle,Yele,NNum,_,_,_,39/36,42/56,33/30,11/28,22/15,3/4,16/50,4/3,0/0,7/13,2/3,22/34,0/5,1/8,6/17,17/19,0/0
Angguruk Yali,yli,Nuclear Trans New Guinea,NNum,V,X,_,88/133,49/57,25/40,10/21,27/16,2/7,29/51,1/4,0/0,9/15,4/2,29/28,2/4,1/6,16/9,29/26,0/0
Iamalele,yml,Austronesian,NNum,V,1/3,_,298/63,47/50,20/43,10/17,9/27,3/7,25/49,1/5,2/0,8/14,3/1,17/27,0/0,0/8,2/9,31/35,0/0
Yongkom,yon,Nuclear Trans New Guinea,NNum,_,_,NQuant,78/121,46/116,24/68,8/34,11/33,2/8,30/93,3/6,1/0,16/24,1/6,28/59,2/5,0/16,5/20,34/63,1/0
Yoruba,yor,Atlantic-Congo,NNum,V,X,NQuant,487/2541,157/1179,105/668,99/380,48/383,15/194,36/726,21/72,22/33,59/372,1/43,36/333,235/14,161/53,179/19,307/244,4/32
Yareba,yrb,Yareban,NNum,V,1/3,_,182/62,42/51,19/35,17/20,19/19,2/7,21/42,2/5,1/0,7/10,2/3,19/49,3/1,2/7,0/19,18/25,0/0
Yaouré,yre,Mande,NNum,V,X,NQuant,117/83,52/83,21/53,6/32,9/35,3/10,17/64,2/5,1/0,2/18,0/6,13/42,1/8,4/6,14/7,32/59,0/0
Nenets,yrk,Uralic,NumN,_,_,QuantN,42/6,36/3,17/2,5/1,13/1,2/0,9/1,3/0,0/0,9/1,0/0,28/1,0/0,1/0,3/0,13/1,0/0
Yessan-Mayo,yss,Sepik,NNum,_,_,QuantN,169/237,112/111,36/111,24/51,23/48,12/22,73/98,4/11,0/0,12/25,4/8,45/54,0/4,3/10,5/38,84/37,0/0
Yucateco,yua,Mayan,NumN,_,_,QuantN,2956/124,625/63,397/36,210/12,200/28,103/13,414/14,54/4,16/7,175/16,18/8,172/41,122/8,117/24,124/3,302/7,15/0
Karkar-Yuri,yuj,Pauwasi,NumN,_,_,QuantN,194/55,49/52,61/12,20/14,22/19,9/1,72/16,6/0,0/1,17/9,4/2,52/8,3/0,5/4,13/2,79/11,1/1
Yopno,yut,Nuclear Trans New Guinea,NNum,V,X,NQuant,159/191,41/75,21/56,19/20,22/20,0/10,24/66,0/7,5/0,6/21,3/4,39/32,1/0,0/8,0/18,18/76,0/1
Yau (Morobe Province),yuw,Nuclear Trans New Guinea,NNum,_,_,NQuant,54/64,46/63,16/47,8/25,17/18,0/9,21/57,0/6,2/0,9/13,2/4,30/31,0/0,0/4,1/14,17/27,0/0
Yuracare,yuz,Yuracaré,NumN,_,_,QuantN,359/20,77/13,47/11,28/0,29/1,9/0,60/9,5/0,0/0,16/2,2/3,29/15,0/0,5/0,18/0,45/4,0/0
Yawa,yva,Yawa-Saweru,NNum,_,_,_,63/84,46/67,13/66,13/34,8/31,0/9,27/50,1/5,0/1,4/18,2/6,19/39,2/4,0/7,1/16,27/31,0/0
Sierra de Juárez Zapotec,zaa,Otomanguean,NumN,_,_,QuantN,754/31,128/22,69/9,45/1,42/3,9/0,72/10,7/0,0/1,21/5,2/4,47/23,2/1,6/4,17/0,96/3,4/0
Western Tlacolula Valley Zapotec,zab,Otomanguean,NumN,_,_,QuantN,711/48,103/17,77/4,43/4,44/1,7/0,85/5,5/1,0/0,21/4,3/4,45/13,2/0,9/0,17/0,84/1,5/0
Ocotlán Zapotec,zac,Otomanguean,NumN,V,X,QuantN,737/21,114/21,78/8,58/0,46/0,7/3,77/4,5/1,0/0,23/0,2/5,44/20,9/1,8/2,19/2,93/7,5/0
Cajonos Zapotec,zad,Otomanguean,NumN,_,_,QuantN,554/33,103/21,71/12,32/9,38/7,9/1,55/29,5/1,0/0,22/4,3/4,33/25,1/1,7/2,17/0,76/7,0/0
Yareni Zapotec,zae,Otomanguean,NumN,_,_,QuantN,681/46,113/16,69/5,43/4,42/2,8/4,76/4,7/0,1/1,20/3,3/3,50/22,7/1,10/0,30/1,83/3,4/0
Isthmus Zapotec,zai,Otomanguean,NumN,_,_,QuantN,713/52,112/23,73/4,38/6,37/3,8/2,69/11,7/0,1/3,20/5,3/4,38/23,4/2,7/2,18/2,86/0,1/0
Miahuatlán Zapotec,zam,Otomanguean,NumN,_,_,QuantN,574/22,122/16,65/4,49/1,43/0,8/1,73/8,7/0,0/1,23/1,4/0,47/12,7/1,8/2,18/2,73/3,2/0
Ozolotepec Zapotec,zao,Otomanguean,NumN,_,_,QuantN,769/42,123/18,69/6,53/1,43/1,8/4,79/5,6/0,0/0,18/7,3/4,50/16,1/1,7/1,19/1,90/2,1/0
Rincón Zapotec,zar,Otomanguean,NumN,_,_,QuantN,603/39,105/22,69/4,46/2,41/0,11/0,80/2,7/0,0/0,19/3,4/2,47/20,3/0,6/4,16/0,75/18,3/0
Santo Domingo Albarradas Zapotec,zas,Otomanguean,NumN,_,_,QuantN,622/37,111/18,77/2,38/2,44/1,7/0,81/5,6/0,0/1,24/2,4/3,46/15,2/0,5/4,19/0,88/3,3/0
Tabaa Zapotec,zat,Otomanguean,NumN,_,_,QuantN,764/46,117/23,70/10,46/1,42/3,7/3,81/5,6/0,0/1,24/2,3/4,42/24,2/1,6/3,19/0,71/6,1/0
Yatzachi Zapotec,zav,Otomanguean,NumN,V,X,QuantN,534/27,93/18,61/11,26/11,37/4,7/4,56/18,4/1,0/0,23/3,1/6,28/29,1/1,8/1,15/0,67/13,2/0
Mitla Zapotec,zaw,Otomanguean,NumN,_,_,QuantN,633/31,115/19,73/4,41/1,42/0,7/0,75/4,5/0,0/1,24/1,3/3,50/12,1/1,7/1,17/0,79/3,1/0
Coatecas Altas Zapotec,zca,Otomanguean,NumN,_,_,QuantN,746/26,116/21,65/9,47/1,42/0,8/3,74/4,7/0,0/0,22/4,3/4,43/23,5/1,7/0,19/3,74/1,4/0
Chinese,zho,_,NumN,_,_,QuantN,4518/303,1237/121,688/79,358/44,378/55,185/21,717/60,71/6,33/4,352/68,43/8,285/80,198/52,192/26,204/17,499/71,29/12
Zia,zia,Nuclear Trans New Guinea,NNum,V,X,NQuant,94/132,27/89,5/62,11/25,14/28,1/7,18/68,0/7,3/0,5/16,3/4,25/33,0/1,1/6,0/15,15/55,0/0
Zigula,ziw,Atlantic-Congo,NNum,_,_,NQuant,95/146,35/102,12/68,19/29,12/33,2/10,10/77,1/6,0/0,7/17,1/4,6/64,3/4,4/9,1/24,13/80,1/2
Zou,zom,Sino-Tibetan,NNum,_,_,NQuant,277/2217,65/514,81/282,25/183,20/197,24/74,49/323,9/34,2/20,27/171,6/18,34/117,10/168,14/114,4/107,19/207,1/13
Francisco León Zoque,zos,Mixe-Zoque,NumN,_,_,QuantN,362/25,89/23,62/7,36/3,39/2,8/4,77/3,6/0,0/0,20/4,3/3,47/21,2/0,8/1,18/2,94/3,0/0
Choapan Zapotec,zpc,Otomanguean,NumN,_,_,QuantN,489/20,109/21,71/3,37/1,41/0,7/3,76/7,6/0,0/0,20/3,4/2,41/18,2/1,9/1,19/1,43/9,2/0
Santa María Quiegolani Zapotec,zpi,Otomanguean,NumN,_,_,QuantN,689/31,93/25,68/5,34/2,38/7,7/0,79/7,7/0,0/1,20/4,3/3,37/23,3/0,9/0,16/0,83/1,2/0
Lachixío Zapotec,zpl,Otomanguean,NumN,_,_,QuantN,698/21,113/17,74/3,44/4,45/0,7/2,83/4,5/1,0/0,21/3,4/3,46/22,8/1,9/1,18/0,96/3,2/0
Mixtepec Zapotec,zpm,Otomanguean,NumN,_,_,QuantN,569/17,87/12,60/3,31/2,41/0,7/0,61/5,5/0,0/0,17/1,3/3,36/17,3/1,9/0,16/0,47/2,0/0
Amatlán Zapotec,zpo,Otomanguean,NumN,_,_,QuantN,720/42,109/27,69/9,38/0,45/0,8/3,77/5,6/0,0/0,21/3,4/3,49/22,6/1,9/0,16/0,86/4,2/0
Zoogocho Zapotec,zpq,Otomanguean,NumN,V,X,QuantN,558/34,101/18,64/11,36/4,38/4,6/1,61/16,7/0,0/1,21/2,2/5,45/23,1/1,8/1,18/0,78/8,3/0
San Vicente Coatlán Zapotec,zpt,Otomanguean,NumN,_,_,QuantN,732/36,124/19,58/16,44/0,45/1,10/0,80/5,6/0,0/1,19/5,2/4,53/12,5/1,10/0,30/1,89/5,4/1
