language,iso,family,dominant,variation,serial,dominant_quantifiers,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,twenty,thirty,forty,several,few
Halh Mongolian,khk,Mongolic,NumN,_,_,QuantN,326/35,141/9,73/4,52/1,43/1,11/1,84/5,6/2,2/0,22/2,5/0,73/1,10/1,6/0,18/3,92/14,1/1
Central Khmer,khm,Austroasiatic,_,V,X,NQuant,188/172,72/94,83/37,30/34,52/17,14/8,43/70,10/5,0/0,25/22,1/8,36/51,1/7,9/7,28/8,36/86,1/0
Kasua,khs,Bosavi,NNum,_,_,_,55/47,45/71,27/42,6/28,12/27,3/7,30/49,1/7,0/0,8/14,3/4,39/29,0/0,3/4,2/15,16/24,1/0
Kele (Democratic Republic of Congo),khy,Atlantic-Congo,NNum,_,_,NQuant,77/154,31/110,10/75,8/39,9/36,1/11,15/75,1/6,0/0,7/19,0/7,6/67,2/6,2/4,3/24,16/79,2/1
Keapara,khz,Austronesian,NNum,_,_,NQuant,102/253,41/97,26/50,12/45,16/28,2/8,19/65,1/5,1/0,10/21,1/6,34/36,3/2,0/7,2/29,29/69,0/1
Kim,kia,Atlantic-Congo,NNum,_,_,NQuant,476/463,132/531,88/349,42/212,35/199,16/96,42/316,9/44,10/23,20/164,2/17,19/131,5/125,9/123,16/97,28/144,3/7
Kikuyu,kik,Atlantic-Congo,NNum,_,_,_,425/628,153/612,63/432,54/206,41/194,13/98,61/397,7/59,2/32,33/156,1/25,46/173,15/179,13/116,6/140,70/237,6/2
Kinyarwanda,kin,Atlantic-Congo,NNum,_,_,NQuant,819/1249,354/1371,138/924,113/531,114/478,27/229,132/820,9/117,6/61,55/403,11/62,66/416,64/383,57/256,55/219,89/614,3/27
Kirghiz,kir,Turkic,NumN,_,_,QuantN,2775/271,1406/138,840/89,528/35,486/59,215/13,807/28,101/6,54/3,436/23,47/3,385/54,377/23,282/17,246/13,475/68,33/4
Khiamniungan Naga,kix,Sino-Tibetan,NNum,V,X,NQuant,87/540,27/107,31/48,5/38,4/36,2/9,21/66,2/6,3/0,4/21,3/4,21/38,0/7,2/7,2/15,18/91,0/1
Q'anjob'al,kjb,Mayan,NumN,_,_,QuantN,2551/53,420/46,272/40,143/15,130/16,77/7,303/23,34/1,13/1,171/12,15/4,111/26,97/2,73/5,105/0,182/1,13/0
Kisar,kje,Austronesian,NNum,_,_,_,93/87,41/79,17/61,13/41,10/30,1/9,23/61,4/4,1/4,7/16,3/4,6/63,1/9,1/9,2/17,24/33,0/0
Khakas,kjh,Turkic,NumN,_,_,QuantN,228/31,120/10,75/1,45/6,43/1,8/2,82/5,7/0,0/0,22/2,6/0,56/3,10/0,9/1,16/0,72/25,0/0
East Kewa,kjs,Nuclear Trans New Guinea,NNum,_,_,_,102/81,53/58,16/50,7/18,7/14,4/5,23/57,2/5,0/0,8/11,2/4,23/30,0/0,2/5,1/14,16/20,0/0
Odoodee,kkc,East Strickland,NNum,V,1/2,_,47/27,29/59,5/48,8/6,7/21,2/7,10/21,1/3,0/0,4/8,2/4,18/26,0/0,1/7,1/12,2/2,0/0
Kagulu,kki,Atlantic-Congo,NNum,_,_,NQuant,52/170,27/110,9/67,9/43,10/34,3/9,17/66,2/6,0/0,7/19,1/5,7/64,0/5,5/5,4/27,26/72,0/3
Kako,kkj,Atlantic-Congo,NNum,V,1/2,QuantN,518/63,28/116,6/84,7/47,8/37,0/10,16/72,0/7,0/1,3/21,0/7,10/59,0/8,0/10,2/18,83/23,0/0
Kosarek Yale,kkl,Nuclear Trans New Guinea,NNum,_,_,_,25/34,15/48,8/27,4/4,1/6,0/3,16/34,1/1,0/0,1/7,0/2,9/14,1/2,0/6,1/24,7/8,0/0
Nukna,klt,Nuclear Trans New Guinea,_,V,X,_,24/27,7/15,3/5,0/3,2/2,0/1,4/2,0/0,0/0,1/2,0/1,9/5,0/0,0/0,0/1,3/2,0/2
Maskelynes,klv,Austronesian,NNum,V,X,NQuant,104/133,31/85,21/60,22/12,9/31,1/8,17/65,0/6,0/1,6/16,1/6,8/49,0/2,0/8,1/15,27/58,2/1
Konni,kma,Atlantic-Congo,NNum,_,_,NQuant,56/88,31/94,26/53,9/36,7/36,0/11,17/70,4/4,3/2,7/19,0/6,14/43,0/8,2/9,0/20,23/59,0/1
Kâte,kmg,Nuclear Trans New Guinea,NNum,_,_,NQuant,45/72,27/40,8/42,5/24,8/14,0/8,18/50,1/6,1/0,6/12,2/2,22/20,0/0,0/1,0/13,10/33,0/0
Kalam,kmh,Nuclear Trans New Guinea,NNum,V,X,_,171/166,92/127,38/91,34/55,38/31,0/19,42/91,3/8,0/0,13/29,4/6,42/51,5/2,3/5,6/23,41/61,0/0
Limos Kalinga,kmk,Austronesian,NumN,_,_,QuantN,369/23,110/20,59/7,50/2,37/4,8/2,73/9,8/0,0/1,17/5,3/3,42/24,9/1,6/0,17/1,87/3,1/0
Kom (India),kmm,Sino-Tibetan,NNum,_,_,NQuant,255/1545,70/425,54/261,21/127,30/98,10/78,30/300,0/31,1/14,24/122,2/16,30/94,12/67,17/55,3/86,25/139,2/5
Kwoma,kmo,Sepik,NumN,_,_,QuantN,108/72,47/65,37/35,21/9,31/10,5/5,73/6,6/0,2/0,20/2,6/0,43/8,2/1,5/3,15/2,41/8,0/1
Northern Kurdish,kmr,Indo-European,NumN,_,_,QuantN,72/40,132/10,72/16,53/3,45/1,11/1,86/5,7/0,1/0,26/0,6/1,64/11,9/1,9/1,19/3,121/3,4/0
Kamasau,kms,Nuclear Torricelli,_,_,_,QuantN,159/132,52/71,13/58,13/20,22/16,1/8,23/61,3/5,0/0,4/14,4/2,26/33,0/0,0/9,0/16,22/13,0/0
Kanite,kmu,Nuclear Trans New Guinea,NumN,_,_,QuantN,244/18,95/16,89/12,47/4,53/4,11/10,75/5,7/0,0/0,27/3,5/1,40/13,2/0,8/0,13/1,24/1,0/0
Kankanaey,kne,Austronesian,NumN,_,_,QuantN,377/42,105/24,50/8,45/4,39/4,10/1,70/10,9/0,0/1,21/4,3/4,28/23,9/1,6/0,16/2,85/3,5/0
Mankanya,knf,Atlantic-Congo,NNum,_,_,NQuant,88/155,39/127,16/92,25/39,15/41,2/12,30/105,4/15,2/4,11/27,0/8,20/62,4/13,6/21,4/28,27/51,1/1
Koongo,kng,Atlantic-Congo,NNum,_,_,NQuant,119/193,25/100,9/70,15/30,4/37,0/10,19/62,2/7,1/4,6/16,0/6,10/57,0/10,4/6,3/18,24/77,0/0
Western Kanjobal,knj,Mayan,NumN,_,_,QuantN,619/23,98/19,62/11,29/7,41/0,12/0,66/12,6/0,0/0,20/3,4/2,43/22,2/1,8/1,18/1,71/0,2/0
Kuranko,knk,Mande,NNum,_,_,NQuant,91/185,34/100,10/67,6/36,10/32,1/7,14/66,3/4,0/1,4/20,1/5,23/36,0/5,4/8,4/17,22/56,0/0
Kono (Sierra Leone),kno,Mande,NNum,_,_,_,91/123,38/91,8/68,11/34,11/29,1/9,23/60,2/6,0/1,4/20,0/5,24/40,1/8,0/6,2/27,37/42,0/0
Tabo,knv,Tabo,NumN,_,_,QuantN,365/65,124/90,116/26,55/5,73/3,19/0,142/22,9/3,0/1,44/4,11/1,123/3,0/0,16/1,26/2,54/23,0/0
Cogui,kog,Chibchan,NumN,_,_,QuantN,279/29,98/19,38/15,27/11,31/8,7/1,58/22,6/0,0/0,15/6,5/1,47/9,0/0,1/3,14/0,61/11,1/0
Korean,kor,Koreanic,NumN,_,_,QuantN,3143/1020,1573/592,931/253,503/187,438/212,253/64,971/279,84/31,50/15,451/124,59/17,453/162,317/124,251/115,267/65,809/176,13/15
Kosraean,kos,Austronesian,NNum,V,1/3,NQuant,902/72,137/196,65/141,32/45,21/68,13/55,46/143,7/19,0/16,44/63,1/11,20/61,34/102,20/64,19/55,16/13,0/3
Komba,kpf,Nuclear Trans New Guinea,NNum,_,_,NQuant,63/60,40/67,13/55,13/24,17/24,0/10,20/59,1/5,0/0,8/14,1/3,26/24,0/0,3/5,2/15,15/35,0/0
Kapingamarangi,kpg,Austronesian,_,V,1/3,_,1809/169,341/352,194/238,122/109,68/88,72/51,94/267,15/23,7/16,63/95,0/16,34/89,69/66,39/58,44/78,101/48,3/6
Karajá,kpj,Nuclear-Macro-Je,NumN,_,_,QuantN,59/24,70/26,51/8,21/7,27/6,11/0,51/30,8/2,0/0,16/5,4/2,31/16,4/0,7/1,16/1,42/7,0/0
Korafe-Yegha,kpr,Nuclear Trans New Guinea,NNum,_,_,_,72/63,26/71,5/57,6/24,17/37,2/7,15/51,3/5,2/1,9/21,3/3,31/24,0/0,3/5,1/13,12/10,0/0
Komi-Zyrian,kpv,Uralic,NumN,_,_,QuantN,177/31,99/19,73/11,48/3,42/2,9/3,77/10,5/3,4/0,21/2,4/3,66/13,9/1,10/0,19/2,82/11,4/0
Kobon,kpw,Nuclear Trans New Guinea,NNum,_,_,NQuant,69/63,44/69,15/52,24/34,19/15,1/10,25/64,2/5,0/0,8/14,2/4,19/30,2/1,0/4,5/17,22/42,0/0
Mountain Koiali,kpx,Koiarian,NNum,V,X,_,83/69,46/57,44/50,29/34,13/25,3/10,33/75,5/1,0/0,11/18,1/4,20/27,1/6,5/3,3/26,16/24,0/0
Kupsabiny,kpz,Nilotic,NNum,_,_,NQuant,79/153,29/111,12/66,14/39,4/42,0/12,10/78,0/8,0/0,6/17,1/7,6/66,1/7,3/7,3/16,26/66,2/1
Doromu-Koki,kqc,Manubaran,NNum,_,_,NQuant,69/176,40/70,13/52,4/14,11/20,3/6,3/30,2/6,0/0,7/8,4/3,21/28,0/1,1/8,0/15,13/33,0/1
Kalagan,kqe,Austronesian,NumN,_,_,QuantN,431/37,101/21,58/10,38/3,30/15,7/3,76/6,6/0,0/2,20/3,3/4,38/23,6/0,9/0,19/0,91/3,1/0
Kakabai,kqf,Austronesian,_,V,X,_,6/11,7/8,3/6,3/0,3/2,0/1,4/3,0/0,0/0,1/0,0/0,5/8,0/0,0/0,1/0,1/1,0/2
Eastern Krahn,kqo,Atlantic-Congo,NNum,_,_,_,110/111,40/96,21/51,12/40,8/43,1/12,18/100,4/5,0/0,10/15,2/4,17/49,5/5,0/8,2/19,42/51,0/0
Kimré,kqp,Afro-Asiatic,NNum,V,X,NQuant,86/91,38/102,25/52,14/38,18/9,2/11,21/64,4/4,1/1,6/17,2/5,9/60,2/3,1/7,7/25,13/51,0/0
Northern Kissi,kqs,Atlantic-Congo,NNum,_,_,NQuant,93/155,27/93,4/57,9/35,15/33,0/12,14/66,1/6,0/1,6/21,0/6,13/57,4/5,0/9,0/22,18/68,0/0
Kandas,kqw,Austronesian,NumN,_,_,QuantN,182/19,57/12,30/0,12/0,27/0,6/0,13/3,2/0,2/0,5/0,1/1,18/15,0/0,4/0,6/2,41/0,2/0
Koorete,kqy,Ta-Ne-Omotic,NumN,_,_,QuantN,313/43,106/25,69/4,48/6,43/0,9/2,72/12,7/1,1/0,21/4,3/2,66/11,5/1,5/5,30/1,85/10,2/1
Karachay-Balkar,krc,Turkic,NumN,_,_,QuantN,379/30,126/12,71/5,47/7,46/2,11/1,83/2,7/0,1/0,21/4,5/1,68/3,9/1,10/0,18/3,96/17,1/0
Krio,kri,Indo-European,NumN,_,_,QuantN,492/38,127/15,72/11,39/1,44/3,12/0,77/6,5/0,4/1,22/0,3/3,44/16,2/1,5/4,14/2,88/3,1/0
Kinaray-A,krj,Austronesian,NumN,_,_,QuantN,544/48,117/17,71/9,45/1,44/1,9/3,82/4,7/0,1/0,22/3,3/4,34/22,8/0,6/3,18/1,91/0,2/0
Southern Kalinga,ksc,Austronesian,NumN,V,X,QuantN,365/27,98/20,56/5,38/3,38/1,7/3,69/9,7/0,0/0,17/4,2/5,32/25,9/0,6/0,18/0,70/3,0/0
Kuanua,ksd,Austronesian,NumN,_,_,QuantN,685/53,112/25,74/6,51/1,45/3,12/0,83/5,8/0,4/1,23/2,3/4,78/15,9/1,10/0,27/1,117/2,4/0
Bafia,ksf,Atlantic-Congo,NNum,_,_,NQuant,94/118,38/88,8/80,8/35,7/39,2/9,20/67,0/8,1/3,4/24,1/4,7/60,1/6,3/7,4/27,21/53,1/0
Kaba,ksp,Central Sudanic,NNum,V,1/2,NQuant,329/54,25/105,10/69,12/34,8/31,2/11,23/69,1/3,1/3,4/27,0/7,19/43,1/10,1/4,2/17,9/31,1/0
Borong,ksr,Nuclear Trans New Guinea,NNum,V,X,NQuant,82/211,29/119,16/86,8/32,14/36,1/11,18/117,3/7,3/0,10/31,3/5,29/39,3/8,2/13,2/24,26/70,0/1
Southern Kisi,kss,Atlantic-Congo,NNum,_,_,NQuant,70/92,37/72,12/49,9/38,7/34,1/10,18/51,1/6,0/1,6/21,1/2,22/47,1/8,0/8,2/18,16/34,0/2
S'gaw Karen,ksw,Sino-Tibetan,NNum,V,X,_,0/0,10/9,23/13,15/17,9/29,16/8,10/9,3/6,0/4,15/13,1/2,14/22,5/14,2/8,8/17,0/0,0/0
Kambaata,ktb,Afro-Asiatic,NumN,_,_,QuantN,252/32,115/11,60/6,41/4,41/2,10/2,79/3,8/0,0/0,18/3,4/0,57/16,4/0,5/4,18/0,85/13,1/0
Plapo Krumen,ktj,Atlantic-Congo,NNum,V,X,NQuant,29/59,41/89,23/52,22/26,4/36,1/10,13/69,6/3,1/0,5/18,1/6,16/41,1/8,2/8,2/17,21/46,0/0
Kurti,ktm,Austronesian,NNum,V,1/2,_,75/27,19/32,4/24,1/2,4/5,2/2,9/34,0/1,0/1,2/9,0/3,5/14,0/4,2/8,1/11,3/1,1/0
Kuot,kto,Kuot,NumN,_,_,QuantN,558/22,107/22,74/6,34/3,41/1,10/0,82/5,7/0,3/0,22/3,4/3,39/22,2/0,7/0,15/0,92/2,0/0
Kituba (Democratic Republic of Congo),ktu,Atlantic-Congo,NNum,_,_,NQuant,72/185,25/123,6/80,14/37,5/42,0/13,9/81,0/7,1/4,4/23,1/6,6/68,2/7,4/6,10/10,18/102,3/1
Kuanyama,kua,Atlantic-Congo,NNum,_,_,NQuant,356/647,163/551,87/370,55/212,59/181,12/98,60/336,9/44,12/23,26/176,7/26,35/174,21/174,14/136,21/141,32/209,1/7
Kutep,kub,Atlantic-Congo,NNum,_,_,_,84/93,45/84,8/70,16/34,10/34,2/11,15/71,1/6,2/2,7/18,3/4,15/58,0/7,0/6,2/16,29/25,1/1
'Auhelawa,kud,Austronesian,NNum,V,X,NQuant,264/130,42/69,9/64,11/25,17/33,2/5,17/63,3/2,0/0,6/15,5/1,16/34,0/1,3/1,1/14,18/30,0/0
Kuman (Papua New Guinea),kue,Nuclear Trans New Guinea,NNum,V,X,NQuant,118/131,36/86,25/52,17/21,12/33,2/8,21/65,2/5,4/1,8/17,4/3,31/30,1/2,2/6,0/16,34/59,1/0
Kumyk,kum,Turkic,NumN,_,_,QuantN,541/48,159/16,104/7,61/1,56/5,13/2,128/6,16/1,9/0,36/1,8/1,63/6,17/0,25/2,31/2,109/11,3/0
Kunimaipa,kup,Goilalan,_,V,X,QuantN,28/18,35/27,13/32,13/13,25/14,4/7,28/42,3/4,0/0,11/9,4/3,29/18,0/0,0/6,0/14,6/1,0/0
Kusaal,kus,Atlantic-Congo,NNum,_,_,NQuant,69/119,32/100,20/55,8/38,8/33,2/10,7/76,3/5,2/1,5/19,1/4,14/43,1/9,0/10,2/18,25/63,0/3
Psikye,kvj,Afro-Asiatic,NNum,V,X,_,310/107,41/96,38/38,11/39,15/28,3/9,17/69,7/1,0/0,6/18,1/6,14/59,2/6,4/6,6/13,29/27,2/1
Border Kuna,kvn,Chibchan,_,V,X,QuantN,39/7,31/8,20/4,10/1,9/8,2/4,15/11,3/1,0/0,5/2,1/2,13/7,0/0,2/0,5/9,30/7,0/0
Kwaio,kwd,Austronesian,NumN,_,_,_,523/19,115/20,78/4,44/6,44/2,10/2,84/4,8/1,2/1,23/1,3/4,41/23,5/0,8/2,19/0,35/27,2/0
Kwara'ae,kwf,Austronesian,NumN,_,_,QuantN,647/20,122/17,74/7,51/0,43/1,12/0,83/4,8/0,3/0,22/1,3/4,49/21,7/1,8/2,37/0,48/45,4/0
Awa-Cuaiquer,kwi,Barbacoan,NumN,_,_,QuantN,259/18,107/11,76/5,40/2,43/1,9/3,75/6,7/0,5/0,24/0,6/1,51/8,1/0,7/2,18/0,92/4,0/0
Kwanga,kwj,Sepik,_,V,6/7,NQuant,69/89,45/75,13/57,16/28,22/21,3/7,64/21,7/4,5/0,29/6,6/1,39/36,1/1,1/7,6/10,19/53,0/0
Konso,kxc,Afro-Asiatic,NNum,_,_,NQuant,117/185,38/91,15/52,8/42,13/28,3/9,18/60,0/8,0/2,10/14,3/4,24/48,1/5,1/7,1/19,23/57,0/1
Northern Khmer,kxm,Austroasiatic,NumN,V,X,_,149/85,73/60,70/18,30/22,39/6,8/4,36/57,8/0,0/1,10/14,1/6,30/29,1/4,8/2,18/1,43/39,1/0
Konai,kxw,East Strickland,NNum,_,_,_,56/76,53/66,24/43,20/30,19/21,0/10,21/64,2/5,0/0,6/18,1/6,17/38,0/0,2/6,1/16,22/32,0/0
Kyaka,kyc,Nuclear Trans New Guinea,NNum,V,X,_,65/114,41/65,34/34,15/22,16/26,2/8,19/59,4/4,0/0,14/9,1/6,21/37,0/0,1/6,2/16,27/37,1/2
Kouya,kyf,Atlantic-Congo,NNum,_,_,NQuant,71/182,27/93,18/62,5/40,8/34,1/13,15/69,3/3,0/1,8/18,2/4,15/39,2/2,3/4,5/15,24/63,0/0
Keyagana,kyg,Nuclear Trans New Guinea,NumN,_,_,QuantN,187/24,114/13,73/4,45/9,40/2,11/1,78/10,5/2,0/0,29/1,6/0,50/5,3/1,9/0,18/1,49/3,0/0
Kenga,kyq,Central Sudanic,NNum,_,_,NQuant,127/96,42/94,12/61,6/33,9/31,2/9,21/65,2/5,1/0,10/12,0/6,14/48,0/1,0/4,2/16,21/59,0/1
Western Kayah,kyu,Sino-Tibetan,NNum,V,1/2,_,39/18,28/62,24/29,20/19,12/23,2/6,10/59,3/3,1/0,7/8,1/5,14/37,1/6,1/9,6/9,20/26,0/1
Kayabí,kyz,Tupian,NumN,_,_,QuantN,54/19,57/21,49/6,29/4,26/6,5/3,36/8,4/4,0/0,12/6,2/1,28/9,6/3,9/1,17/1,24/10,0/0
Kosena,kze,Bookkeeping,_,V,X,QuantN,28/13,18/15,21/15,7/6,17/7,2/2,8/14,4/1,0/0,8/7,0/3,32/9,0/0,3/0,10/6,10/6,0/0
Da'a Kaili,kzf,Austronesian,NumN,V,X,QuantN,451/62,92/17,46/12,12/3,39/3,8/1,12/15,4/1,3/1,11/4,2/5,22/28,3/1,10/0,14/0,70/4,2/0
Lacandon,lac,Mayan,NumN,V,X,QuantN,204/32,89/27,67/12,27/7,41/2,8/3,53/15,5/3,0/1,19/6,1/5,40/23,3/0,5/4,19/2,73/7,0/0
Lambya,lai,Atlantic-Congo,NNum,V,X,NQuant,76/125,36/88,15/48,11/28,10/35,1/9,11/73,2/7,5/0,5/21,0/6,10/51,0/0,2/6,2/13,23/59,0/2
Lango (Uganda),laj,Nilotic,NNum,_,_,NQuant,87/151,41/101,7/69,12/50,6/41,0/12,17/74,2/6,0/3,5/21,0/6,9/51,1/9,0/10,2/18,15/80,3/2
Lamba,lam,Atlantic-Congo,NNum,_,_,NQuant,104/156,30/89,16/59,8/34,9/33,3/11,28/73,1/6,0/0,4/23,0/7,10/66,2/5,3/6,4/17,15/88,1/0
Lao,lao,Tai-Kadai,NumN,V,X,_,147/142,85/60,77/10,19/23,41/2,8/2,35/54,7/0,5/0,15/7,1/6,27/34,1/0,5/4,16/0,43/50,1/0
Lama (Togo),las,Atlantic-Congo,NNum,_,_,NQuant,83/77,39/88,21/54,17/27,9/33,2/8,18/92,1/5,1/0,4/20,0/6,9/61,0/8,1/7,9/22,25/57,0/0
Latin,lat,Indo-European,NumN,_,_,QuantN,948/864,1063/306,639/227,377/128,331/208,185/54,592/181,87/43,44/29,323/101,22/19,183/182,376/102,224/99,198/65,275/298,26/11
Label,lbb,Austronesian,NumN,_,_,QuantN,29/4,12/3,8/0,4/0,5/0,1/0,6/0,0/0,0/0,1/0,0/0,8/5,0/0,0/0,2/0,15/0,1/0
Ladakhi,lbj,Sino-Tibetan,NNum,_,_,NQuant,37/108,27/92,13/55,3/27,6/35,2/7,7/63,4/3,0/0,3/18,1/4,20/31,2/6,1/8,1/15,18/70,0/0
Central Bontok,lbk,Austronesian,NumN,_,_,QuantN,515/26,150/24,88/8,58/1,50/10,13/1,110/14,16/0,8/1,32/9,6/3,54/23,13/3,20/2,42/2,86/3,5/0
Tungag,lcm,Austronesian,NumN,_,_,QuantN,658/43,141/25,87/5,40/4,42/6,11/2,117/12,8/1,2/1,29/4,6/2,46/21,16/2,15/3,30/1,57/16,6/0
Laari,ldi,Atlantic-Congo,NNum,_,_,_,95/192,36/110,12/63,20/27,14/30,0/9,13/76,0/7,0/1,4/21,1/5,16/58,3/7,3/5,2/20,52/41,2/0
Lyélé,lee,Atlantic-Congo,NNum,_,_,NQuant,82/129,33/91,32/38,14/34,12/28,1/11,19/65,3/4,1/1,3/20,0/7,22/62,1/7,2/7,2/18,19/62,0/1
Lelemi,lef,Atlantic-Congo,NNum,_,_,NQuant,59/90,47/76,20/54,8/29,13/28,0/9,14/69,3/3,0/4,10/14,1/5,16/52,1/3,0/8,1/14,29/54,0/1
_,leg,Lengua-Mascoy,NumN,V,X,QuantN,279/32,100/20,71/10,34/4,39/2,11/1,70/10,7/0,0/4,21/2,5/2,40/22,1/1,10/0,20/2,68/2,2/0
Lenje,leh,Atlantic-Congo,NNum,_,_,NQuant,272/304,155/376,73/276,51/141,30/85,20/93,76/334,5/38,1/13,26/138,3/15,26/93,31/102,21/72,15/80,40/137,0/7
Nomaande,lem,Atlantic-Congo,NNum,_,_,NQuant,77/70,39/92,15/66,25/28,8/32,1/8,19/83,1/6,0/0,4/18,0/6,5/65,1/3,0/10,1/31,22/42,0/0
Kara (Papua New Guinea),leu,Austronesian,NNum,V,2/3,QuantN,423/73,77/43,14/55,7/23,15/28,2/6,9/69,3/3,0/0,5/16,0/4,10/45,1/0,0/4,3/14,49/10,2/0
Ledo Kaili,lew,Austronesian,NumN,V,X,QuantN,345/54,92/24,47/21,38/6,39/4,10/1,59/18,4/2,0/3,14/10,3/4,43/25,8/2,8/0,16/2,74/7,0/0
Luang,lex,Austronesian,NNum,_,_,_,108/117,50/124,9/98,6/56,7/48,0/14,27/102,4/6,1/7,7/36,1/11,15/50,2/17,3/23,4/27,22/30,0/0
Lega-Mwenga,lgm,Atlantic-Congo,NNum,V,X,NQuant,64/186,27/115,13/60,12/32,7/39,2/10,13/136,1/7,0/1,3/26,0/6,10/62,1/9,7/4,4/18,18/85,0/2
Lahu Shi,lhi,Sino-Tibetan,_,V,X,_,44/144,52/67,66/22,28/27,27/21,5/7,28/61,8/0,5/0,9/14,3/3,40/18,1/0,8/2,19/1,30/45,0/2
Lhomi,lhm,Sino-Tibetan,NNum,_,_,NQuant,69/239,21/89,15/53,9/28,8/32,1/10,13/56,2/3,1/0,1/20,4/2,25/44,0/4,2/4,0/19,16/64,0/0
Lahu,lhu,Sino-Tibetan,NumN,V,X,NQuant,31/115,72/66,66/17,35/17,28/19,5/6,31/59,7/0,5/0,12/12,0/2,39/19,1/6,9/1,16/2,21/47,0/1
West-Central Limba,lia,Atlantic-Congo,NNum,_,_,_,89/158,49/74,18/55,23/25,8/36,1/10,15/70,3/5,0/1,3/20,0/6,12/45,2/4,0/6,4/19,21/30,0/0
Nyindrou,lid,Austronesian,NNum,V,X,_,238/126,81/102,27/60,10/36,17/31,3/11,27/96,11/6,5/5,16/22,0/9,10/57,10/8,2/24,7/34,27/39,0/0
Limbu,lif,Sino-Tibetan,NumN,V,X,QuantN,321/60,213/43,82/57,64/18,63/29,20/1,142/12,11/4,1/4,43/5,14/0,126/23,6/2,16/2,14/36,181/12,2/0
Lingala,lin,Atlantic-Congo,NNum,_,_,NQuant,374/887,144/667,59/404,30/253,32/233,5/115,33/368,4/56,1/33,20/205,3/19,8/172,34/241,15/149,23/161,55/211,9/8
Sekpele,lip,Atlantic-Congo,NNum,V,X,NQuant,75/112,41/86,17/56,21/21,8/36,2/11,8/76,4/2,0/1,5/18,1/4,38/21,1/4,1/6,12/19,31/62,2/0
Lithuanian,lit,Indo-European,NumN,_,_,QuantN,1497/256,1332/119,827/74,515/36,473/72,209/18,740/44,105/9,62/4,395/26,34/9,244/107,413/27,275/29,228/16,452/8,27/5
Lampung Api,ljp,Austronesian,NumN,V,X,QuantN,357/37,123/22,73/13,46/3,46/2,10/1,80/8,8/0,1/4,21/4,4/3,39/19,9/1,7/0,21/0,86/4,2/0
Lamkang,lmk,Sino-Tibetan,NNum,_,_,NQuant,71/491,29/110,7/70,3/46,6/38,1/11,10/72,2/6,0/0,5/20,3/2,25/50,0/6,1/10,1/26,14/75,0/2
Limbum,lmp,Atlantic-Congo,NNum,_,_,QuantN,126/99,44/83,13/67,9/29,8/39,0/9,14/67,3/3,1/0,3/20,0/5,7/52,0/2,0/8,1/14,51/29,2/1
Lobi,lob,Atlantic-Congo,NNum,_,_,NQuant,84/157,34/99,16/59,12/37,13/29,1/11,8/78,3/5,0/0,5/21,0/7,8/62,5/3,3/7,2/19,13/63,0/1
Mongo,lol,Atlantic-Congo,NNum,_,_,NQuant,58/152,39/77,10/60,21/20,14/30,2/9,9/81,0/6,2/0,5/18,0/8,8/51,2/8,1/3,2/17,25/80,0/0
Loma (Liberia),lom,Mande,NNum,_,_,NQuant,88/126,32/99,12/56,9/42,8/35,0/11,19/69,1/6,1/0,4/21,0/5,27/39,1/0,0/6,1/20,34/62,0/0
Lobala,loq,Atlantic-Congo,NNum,_,_,_,71/85,31/54,9/33,2/8,18/17,1/6,6/17,1/2,1/2,6/9,0/4,12/46,1/0,2/8,2/3,12/12,0/0
Lozi,loz,Atlantic-Congo,NNum,_,_,_,309/248,117/438,68/289,48/126,34/114,9/92,60/311,6/47,11/15,27/146,6/15,23/144,21/179,20/114,9/114,30/154,4/1
Lashi,lsi,Sino-Tibetan,_,V,X,NQuant,28/118,55/76,68/15,18/25,24/17,6/5,22/58,6/1,2/0,13/8,4/2,39/19,0/4,7/1,11/4,18/64,0/0
Saamia,lsm,Atlantic-Congo,NNum,_,_,NQuant,72/147,29/94,11/54,14/25,7/37,0/10,11/70,1/5,0/0,4/22,0/5,10/50,1/1,2/8,5/17,19/52,1/1
Ganda,lug,Atlantic-Congo,NNum,_,_,NQuant,159/261,59/202,15/138,14/81,15/74,1/25,23/151,0/14,1/0,12/44,1/11,28/102,3/13,5/15,2/58,37/144,0/1
Luo (Kenya and Tanzania),luo,Nilotic,NNum,_,_,NQuant,96/183,32/107,9/60,12/34,9/35,0/10,8/81,1/5,0/1,5/25,0/6,11/66,1/7,0/4,1/22,16/83,0/3
Lushai,lus,Sino-Tibetan,NNum,V,X,NQuant,65/258,28/100,11/63,13/35,12/30,0/12,13/69,2/6,4/0,5/17,4/2,32/32,0/6,2/7,2/17,16/98,1/3
Luwo,lwo,Nilotic,NNum,_,_,_,80/93,36/82,12/60,10/35,10/32,3/10,16/61,3/4,1/0,6/18,0/5,12/46,2/4,0/9,1/17,27/28,2/2
Lewo,lww,Austronesian,NNum,V,1/2,_,106/41,49/82,15/63,8/34,6/36,3/7,14/65,1/4,0/4,4/17,2/5,9/42,0/0,1/6,3/28,21/32,0/0
Literary Chinese,lzh,Sino-Tibetan,NNum,_,_,_,0/2,0/7,0/4,0/8,0/13,2/0,0/1,1/0,0/0,1/15,0/4,0/6,0/0,0/4,0/11,0/0,0/0
